,lga,Median House Price,Mean House Price,Normalised Median House Price,Normalised Mean House Price,Crime Rate,Facility Tally,Greenspace Tally,Greenspace_area,Response Time,School Tally,(LGA Area),(LGA Population),(Num suburbs)
37,LODDON,161750,157125.0,0.030385712513952622,0.026051259867405724,53.3,75,0,0.0,1297,24,6696.4,7502,4
38,MACEDON RANGES,695000,644136.364,0.2949274463599157,0.24395181121036355,68.3,121,0,0.0,804,24,1748.3,50230,11
39,MANNINGHAM,1121000,1175277.778,0.5062631774773657,0.48159720412501067,38.7,130,455,0.0009853080078,692,23,113.3,127585,9
40,MANSFIELD,365750,368250.0,0.13158873868287238,0.12051364268416885,99.3,35,0,0.0,1401,23,3843.9,9175,6
41,MARIBYRNONG,885000,866875.0,0.38918516681136056,0.3436104129956361,108.1,103,107,0.0001496844,589,23,31.2,93482,8
42,MAROONDAH,819250,810300.0,0.3565670346025053,0.31829740265646084,95.7,127,314,0.0004880263739999998,543,22,61.4,118569,10
43,MELBOURNE,1375000,1674928.571,0.6322708669229815,0.7051529387990914,113.8,135,313,0.00029682802100000004,533,22,37.4,178994,7
44,MELTON,515000,523575.0,0.20563065856381,0.1900097687280468,128.3,111,274,0.0018783377960000002,656,20,527.5,164936,20
45,MILDURA,239000,269357.143,0.06870891727644797,0.07626660933531194,215.8,117,0,0.0,650,19,22082.5,55779,7
46,MITCHELL,442500,448333.333,0.16966389681260077,0.15634484438500162,203.1,97,47,0.00037219501999999984,825,19,2862.1,46087,6
47,MOIRA,262500,306500.0,0.0803671090164951,0.09288521337008894,140.7,122,0,0.0,939,18,4046.4,29920,6
48,MONASH,1100000,1093800.0,0.4958452189011534,0.44514209432515167,66.2,167,204,0.0005051864640000002,644,18,81.5,202896,15
49,MOONEE VALLEY,1088500,1080366.6670000001,0.49014014634751335,0.43913169932526513,66.7,128,165,0.00024819788000000003,659,17,43.1,130313,15
50,MOORABOOL,477500,466250.0,0.18702716110628798,0.16436119042149408,101.0,69,0,0.0,773,17,2110.6,35051,6
51,MORELAND,849250,856964.286,0.3714498325685229,0.33917612212598325,75.3,130,120,0.00022369750000000006,611,17,51.0,185811,14
52,MORNINGTON PENINSULA,795000,897693.548,0.3445367729133077,0.35739936967548347,104.4,223,756,0.007240308050000005,659,16,724.2,167619,31
53,MOUNT ALEXANDER,505000,490333.333,0.2006697259084708,0.175136650558141,51.0,89,0,0.0,1003,15,1529.6,19751,6
54,MOYNE,382000,389500.0,0.1396502542477986,0.13002140175986437,41.3,74,0,0.0,1068,15,5481.7,16952,4
55,MURRINDINDI,380500,386666.667,0.1389061143494977,0.12875370069891295,172.4,80,0,0.0,1298,15,3879.8,14568,6
56,NILLUMBIK,815500,858777.7779999999,0.35470668485675305,0.33998752189171033,35.4,95,339,0.007295124357999997,798,14,432.3,65099,9
57,NORTHERN GRAMPIANS,189000,224666.667,0.04390425399975195,0.05627101974537534,148.9,66,0,0.0,871,14,5729.9,11401,3
58,PORT PHILLIP,1776250,1792625.0,0.8313282897184671,0.7578131407285832,96.2,77,104,0.00023929920000000004,575,14,20.7,115620,8
59,PYRENEES,231000,231000.0,0.0647401711521766,0.05910470465408838,94.1,47,0,0.0,1070,14,3434.6,7470,2
60,QUEENSCLIFFE,888750,888750.0,0.3910455165571127,0.35339781204414616,0.0,13,0,0.0,911,13,8.6,2939,2
61,SOUTH GIPPSLAND,328750,343208.333,0.11323328785811733,0.10930940095759026,97.5,142,0,0.0,1082,13,3296.3,29910,12
62,SOUTHERN GRAMPIANS,186750,183625.0,0.042788044152300635,0.03790799471474367,86.9,89,0,0.0,957,13,6654.0,16098,4
63,STONNINGTON,2116250,2333916.667,1.0,1.0,49.7,114,65,0.00011372547000000002,612,13,25.7,117776,6
64,STRATHBOGIE,339500,345125.0,0.11856629046260697,0.11016696369002961,56.1,55,0,0.0,1061,13,3303.3,10778,4
65,SURF COAST,905000,957142.8570000001,0.39910703212203896,0.3839984147196519,70.0,130,0,0.0,917,13,1552.9,33457,7
66,SWAN HILL,225000,186200.0,0.061763611558973086,0.03906011140273971,202.8,79,0,0.0,772,12,6115.3,20650,5
67,TOWONG,251500,285333.333,0.07491008309562197,0.0834147394749607,66.1,37,0,0.0,1379,10,6674.9,6039,3
68,WANGARATTA,345750,345750.0,0.12166687337219398,0.11044660366284419,106.5,117,0,0.0,1725,10,3645.1,29184,2
69,WARRNAMBOOL,360000,343333.333,0.12873620240605232,0.10936532895215317,125.7,97,0,0.0,761,9,120.9,35181,3
70,WELLINGTON,252500,267392.857,0.0754061763611559,0.07538774072148788,126.7,165,0,0.0,569,9,10817.3,44378,14
71,WEST WIMMERA,171250,171250.0,0.03509859853652487,0.0323711232530151,52.2,49,0,0.0,974,9,9108.2,3839,2
72,WHITEHORSE,1159500,1203562.5,0.5253627682004217,0.49425246635084713,58.2,154,156,0.00028865993,1297,9,64.3,178779,16
73,WHITTLESEA,590500,605166.667,0.24308570011162098,0.22651583519488808,99.8,137,587,0.005303625250000003,557,8,489.7,230297,9
74,WODONGA,395000,389500.0,0.14609946669973956,0.13002140175986437,88.5,62,0,0.0,690,8,432.7,42083,5
75,WYNDHAM,565000,583350.0,0.23043532184050602,0.2167545357280327,107.8,146,412,0.0006054649898999999,634,8,542.1,270607,10
76,YARRA,1352500,1370272.727,0.6211087684484683,0.5688426157047535,106.2,133,50,0.0002118122,627,7,19.5,101516,11
77,YARRA RANGES,642500,633351.351,0.2688825499193848,0.23912633802296385,83.2,198,1124,0.08261536449619998,529,5,2468.2,159474,37
78,YARRIAMBIACK,114500,98900.0,0.006945305717474886,0.0,60.3,82,0,0.0,716,3,7325.8,6637,5
