,lga_id,lga_name,postal_town,postal_postcode,address_postcode
242,335,Indigo (S),OSBORNES FLAT,3691,3691
243,217,Frankston (C),FRANKSTON,3199,3199
244,127,Buloke (S),DONALD,3480,3480
245,485,Mitchell (S),BEVERIDGE,3753,3753
246,590,Port Phillip (C),ST KILDA,3182,3182
247,249,Golden Plains (S),Cape Clear,3351,3351
248,745,Yarra Ranges (S),WARBURTON,3799,3799
249,485,Mitchell (S),TALLAROOK,3659,3659
250,335,Indigo (S),BARNAWARTHA,3688,3688
251,735,Yarra (C),FITZROY NORTH,3068,3068
252,275,Greater Geelong (C),GEELONG WEST,3218,3218
253,189,Darebin (C),PRESTON,3072,3072
254,161,Casey (C),TOORADIN,3980,3980
255,111,Boroondara (C),HAWTHORN,3122,3122
256,262,Greater Bendigo (C),ELMORE,3558,3558
257,283,Greater Shepparton (C),DOOKIE,3646,3646
258,91,Bayside (C),BRIGHTON,3186,3186
259,319,Horsham (RC),NATIMUK,3409,3409
260,763,Yarriambiack (S),MURTOA,3390,3390
261,262,Greater Bendigo (C),Big Hill,3555,3555
262,291,Hepburn (S),CLUNES,3370,3370
263,581,Northern Grampians (S),MARNOO,3387,3387
264,335,Indigo (S),BEECHWORTH,3747,3747
265,283,Greater Shepparton (C),ARDMONA,3629,3629
266,485,Mitchell (S),KILMORE,3764,3764
267,549,Moyne (S),MACARTHUR,3286,3286
268,275,Greater Geelong (C),BARWON HEADS,3227,3227
269,118,Brimbank (C),KEILOR,3036,3036
270,167,Central Goldfields (S),DUNOLLY,3472,3472
271,670,Wangaratta (RC),SPRINGHURST,3682,3682
272,745,Yarra Ranges (S),DIXONS CREEK,3775,3775
273,291,Hepburn (S),TRENTHAM,3458,3458
274,57,Ballarat (C),WARRENHEIP,3352,3352
275,262,Greater Bendigo (C),MAIDEN GULLY,3551,3551
276,763,Yarriambiack (S),RUPANYUP,3388,3388
277,262,Greater Bendigo (C),GOORNONG,3557,3557
278,497,Monash (C),OAKLEIGH,3166,3166
279,275,Greater Geelong (C),CERES,3221,3221
280,635,Stonnington (C),MALVERN,3144,3144
281,291,Hepburn (S),DAYLESFORD,3460,3460
282,283,Greater Shepparton (C),MOOROOPNA,3629,3629
283,211,East Gippsland (S),SWAN REACH,3903,3903
284,599,Pyrenees (S),AMPHITHEATRE,3468,3468
285,649,Surf Coast (S),DEANS MARSH,3235,3235
286,275,Greater Geelong (C),DRYSDALE,3222,3222
287,581,Northern Grampians (S),St Arnaud,3478,3478
288,549,Moyne (S),NULLAWARRE,3268,3268
289,413,Macedon Ranges (S),MACEDON,3440,3440
290,571,Nillumbik (S),ARTHURS CREEK,3099,3099
291,534,Mornington Peninsula (S),RYE,3941,3941
292,562,Murrindindi (S),Buxton,3711,3711
293,599,Pyrenees (S),MOONAMBEL,3478,3478
294,543,Mount Alexander (S),BARINGHUP,3463,3463
295,681,Wellington (S),Longford,3851,3851
296,161,Casey (C),HARKAWAY,3806,3806
297,534,Mornington Peninsula (S),BALNARRING,3926,3926
298,670,Wangaratta (RC),Londrigan via Wangaratta,3678,3678
299,643,Strathbogie (S),EUROA,3666,3666
300,394,Loddon (S),PYRAMID HILL,3575,3575
301,283,Greater Shepparton (C),SHEPPARTON EAST,3631,3631
302,211,East Gippsland (S),NICHOLSON,3882,3882
303,283,Greater Shepparton (C),KIALLA WEST,3631,3631
304,57,Ballarat (C),MINERS REST,3352,3352
305,670,Wangaratta (RC),GLENROWAN,3675,3675
306,673,Warrnambool (C),WARRNAMBOOL,3280,3280
307,101,Benalla (RC),DEVENISH,3726,3726
308,283,Greater Shepparton (C),UNDERA,3629,3629
309,11,Alpine (S),DEDERANG,3691,3691
310,262,Greater Bendigo (C),"AXE CREEK, via Strathfieldsaye",3551,3551
311,745,Yarra Ranges (S),SILVAN,3795,3795
312,57,Ballarat (C),Wendouree,3355,3355
313,137,Campaspe (S),LANCASTER,3620,3620
