LGA,Median House Price - 2019
YARRA,1392500
YARRA,1377500
FIVEWAYS *no lga*,485000
MOONEE VALLEY,1000000
FLINDERS *no lga*,1670000
FLORA HILL *no lga*,370000
MURRINDINDI,290000
MARIBYRNONG,810000
WHITEHORSE,900000
SOUTH GIPPSLAND,325000
FRANKSTON,580500
FRANKSTON,423000
FRANKSTON,817500
MELTON,598000
FYANSFORD *no lga*,617500
GARDEN CITY *no lga*,1375000
GARDENVALE *no lga*,1740000
CARDINIA,540000
GREATER GEELONG,720000
GREATER GEELONG,675000
CARDINIA,650000
MACEDON RANGES,730000
HUME,636500
GLEN EIRA,1380000
BOROONDARA,1929500
MONASH,1270000
LATROBE,324000
WANGARATTA,372500
MORELAND,700000
GOLDEN BEACH *no lga*,220000
GOLDEN POINT (BALLARAT) *no lga*,370000
GREATER BENDIGO,340000
MOORABOOL,495000
GOUGHS BAY *no lga*,299500
GOWANBRAE *no lga*,700500
GRANTVILLE *no lga*,397500
GREEN LAKE *no lga*,290000
BANYULE,797500
HUME,715000
GREATER GEELONG,505000
MORELAND,727500
CASEY,560000
NORTHERN GRAMPIANS,310000
SOUTHERN GRAMPIANS,208500
GREATER GEELONG,540000
BAYSIDE,1896000
BAYSIDE,1195000
CASEY,502000
HARKNESS *no lga*,475000
MORNINGTON PENINSULA,506000
HASTINGS WEST *no lga*,430000
BOROONDARA,2195500
BOROONDARA,2050000
YARRA RANGES,579500
GREATER BENDIGO,332500
HEATHERTON *no lga*,965000
MAROONDAH,871000
BANYULE,1122500
HEIDELBERG HEIGHTS *no lga*,777500
BANYULE,665000
HEPBURN,452500
HEPBURN SPRINGS *no lga*,595000
GREATER GEELONG,534000
WELLINGTON,195000
GLENELG,178000
BAYSIDE,1229500
GREATER GEELONG,690000
HILLSIDE (MELTON) *no lga*,642000
YARRIAMBIACK,66000
WYNDHAM,528500
HORSHAM,269000
MONASH,1150500
HUNTINGDALE *no lga*,914000
GREATER BENDIGO,367500
NILLUMBIK,700000
INDENTED HEAD *no lga*,606000
LODDON,185000
GOLDEN PLAINS,503000
BASS COAST,592500
INVERMAY PARK *no lga*,475000
IRONBARK *no lga*,296000
MILDURA,380000
BANYULE,1540000
BANYULE,1765000
HUME,512500
JACKASS FLAT *no lga*,331500
MANSFIELD,311500
JAN JUC *no lga*,870000
JEERALANG NORTH *no lga*,235000
HINDMARSH,81000
JUNCTION VILLAGE *no lga*,483500
JUNORTOUN *no lga*,530000
KALIMNA *no lga*,292500
KALKALLO *no lga*,532500
YARRA RANGES,700000
KALORAMA *no lga*,645000
GREATER BENDIGO,340000
KANGAROO GROUND SOUTH *no lga*,815500
WEST WIMMERA,169500
BRIMBANK,596000
BRIMBANK,836500
BRIMBANK,630000
MOONEE VALLEY,835000
KEILOR LODGE *no lga*,740000
KEILOR PARK *no lga*,708000
GREATER BENDIGO,373500
MOONEE VALLEY,980000
GANNAWARRA,170000
BOROONDARA,2255000
BOROONDARA,1837000
KEW NORTH *no lga*,1833000
GREATER DANDENONG,740000
GREATER SHEPPARTON,450000
KILCUNDA *no lga*,533000
KILLARA (WODONGA) *no lga*,453500
MITCHELL,435000
YARRA RANGES,642500
KILSYTH SOUTH *no lga*,761500
MURRINDINDI,555000
BRIMBANK,510000
DAREBIN,660000
MARIBYRNONG,1010000
KNOX,760000
CARDINIA,550000
GANNAWARRA,212500
MOYNE,345000
SOUTH GIPPSLAND,319000
KURUNJANG *no lga*,420500
CAMPASPE,263000
MACEDON RANGES,595000
SWAN HILL,239000
BALLARAT,552500
EAST GIPPSLAND,357500
BALLARAT,836500
EAST GIPPSLAND,310000
WHITTLESEA,590500
MACEDON RANGES,500000
CARDINIA,495000
FRANKSTON,617500
GREATER GEELONG,495000
GREATER GEELONG,540000
YARRA RANGES,554000
HOBSONS BAY,529000
LAVERTON SOUTH *no lga*,622500
LEARMONTH *no lga*,331000
WODONGA,426000
SOUTH GIPPSLAND,367000
