thier_code, opstt_code, name, railst_pid, state_pid
501,1,"NORTH GEELONG STATION","VIC16207944","2"
501,3,"BORUNG STATION","VIC16207945","2"
501,3,"ELPHINSTONE STATION","VIC16207946","2"
501,1,"MOORABBIN STATION","VIC16207947","2"
501,3,"BOORHAMAN STATION","VIC16207948","2"
501,1,"GEELONG SOUTH STATION","VIC16207949","2"
501,1,"CLAYTON STATION","VIC16207950","2"
501,3,"BADDAGINNIE STATION","VIC16207951","2"
501,3,"CURDIE STATION","VIC16207952","2"
501,1,"MONTAGUE STATION","VIC16207953","2"
501,1,"TOORONGA STATION","VIC16207954","2"
501,3,"WAHGUNYAH STATION","VIC16207955","2"
501,1,"PORT MELBOURNE STATION","VIC16207956","2"
501,3,"BURRUMBEET STATION","VIC16207957","2"
501,1,"EPPING STATION","VIC16207958","2"
501,1,"MEREDITH STATION","VIC16207959","2"
501,1,"ANSTEY STATION","VIC16207960","2"
501,1,"BERWICK STATION","VIC16207961","2"
501,3,"MOLESWORTH STATION","VIC16207962","2"
501,1,"MILDURA STATION","VIC16207963","2"
501,3,"PURALKA STATION","VIC16207964","2"
501,3,"BRIDGEWATER STATION","VIC16207965","2"
501,8,"HINKSONS STATION","VIC16207966","2"
501,1,"BEULAH STATION","VIC16207967","2"
501,3,"PULLUT STATION","VIC16207968","2"
501,1,"DAREBIN STATION","VIC16207969","2"
501,3,"TANDARRA STATION","VIC16207970","2"
501,1,"MERINDA PARK STATION","VIC16207971","2"
501,3,"TRESCO STATION","VIC16207972","2"
501,3,"MINYIP STATION","VIC16207973","2"
501,1,"WALLAN STATION","VIC16207974","2"
501,3,"NERRIN NERRIN STATION","VIC16207975","2"
501,3,"POMBORNEIT STATION","VIC16207976","2"
501,8,"GOROKE STATION","VIC16207977","2"
501,1,"MURTOA STATION","VIC16207978","2"
501,1,"WESTGARTH STATION","VIC16207979","2"
501,1,"MCKINNON STATION","VIC16207980","2"
501,1,"MERRIGUM STATION","VIC16207981","2"
501,1,"HEYWOOD STATION","VIC16207982","2"
501,3,"CANNIE STATION","VIC16207983","2"
501,1,"LILYDALE STATION","VIC16207984","2"
